public_intersection,year,all_eligible_crashes,cyclist_involved_crashes,pedestrian_involved_crashes
ALBANY ST & MASSACHUSETTS AVE,2023,4,2,2
ALBANY ST & MASSACHUSETTS AVE,2024,4,3,1
ALBANY ST & MASSACHUSETTS AVE,2025,1,1,0
MASSACHUSETTS AVE & WINDSOR ST,2023,2,1,1
MASSACHUSETTS AVE & WINDSOR ST,2024,3,2,1
MASSACHUSETTS AVE & WINDSOR ST,2025,3,3,0
CAMBRIDGE ST & PROSPECT ST,2023,4,1,3
CAMBRIDGE ST & PROSPECT ST,2024,2,1,1
CAMBRIDGE ST & PROSPECT ST,2025,1,0,1
BRATTLE ST & CRAIGIE ST,2023,1,1,0
BRATTLE ST & CRAIGIE ST,2024,2,1,1
BRATTLE ST & CRAIGIE ST,2025,3,3,0
COLUMBIA ST & HAMPSHIRE ST,2023,5,3,2
COLUMBIA ST & HAMPSHIRE ST,2024,1,1,0
COLUMBIA ST & HAMPSHIRE ST,2025,0,0,0
MASSACHUSETTS AVE & VASSAR ST,2023,4,2,2
MASSACHUSETTS AVE & VASSAR ST,2024,0,0,0
MASSACHUSETTS AVE & VASSAR ST,2025,2,2,0
DANA ST & MASSACHUSETTS AVE,2023,1,0,1
DANA ST & MASSACHUSETTS AVE,2024,1,0,1
DANA ST & MASSACHUSETTS AVE,2025,2,0,2
MAIN ST & VASSAR ST,2023,0,0,0
MAIN ST & VASSAR ST,2024,3,3,0
MAIN ST & VASSAR ST,2025,1,1,0
BISHOP ALLEN DR & COLUMBIA ST,2023,1,0,1
BISHOP ALLEN DR & COLUMBIA ST,2024,1,1,0
BISHOP ALLEN DR & COLUMBIA ST,2025,2,2,0
HANCOCK ST & MASSACHUSETTS AVE,2023,3,1,2
HANCOCK ST & MASSACHUSETTS AVE,2024,1,1,0
HANCOCK ST & MASSACHUSETTS AVE,2025,0,0,0
BROADWAY & MAIN ST,2023,2,1,1
BROADWAY & MAIN ST,2024,0,0,0
BROADWAY & MAIN ST,2025,2,0,2
MASSACHUSETTS AVE & PEARL ST,2023,1,1,0
MASSACHUSETTS AVE & PEARL ST,2024,2,2,0
MASSACHUSETTS AVE & PEARL ST,2025,1,0,1
BROADWAY & PROSPECT ST,2023,1,0,1
BROADWAY & PROSPECT ST,2024,2,1,1
BROADWAY & PROSPECT ST,2025,0,0,0
CAMBRIDGE ST & WINDSOR,2023,1,1,0
CAMBRIDGE ST & WINDSOR,2024,0,0,0
CAMBRIDGE ST & WINDSOR,2025,2,0,2
DAVENPORT ST & MASSACHUSETTS AVE,2023,0,0,0
DAVENPORT ST & MASSACHUSETTS AVE,2024,1,0,1
DAVENPORT ST & MASSACHUSETTS AVE,2025,2,1,1
DEWOLFE ST & MOUNT AUBURN ST,2023,0,0,0
DEWOLFE ST & MOUNT AUBURN ST,2024,1,1,0
DEWOLFE ST & MOUNT AUBURN ST,2025,2,2,0
DUNSTER ST & MOUNT AUBURN ST,2023,1,0,1
DUNSTER ST & MOUNT AUBURN ST,2024,1,0,1
DUNSTER ST & MOUNT AUBURN ST,2025,1,0,1
HAMPSHIRE ST & PORTLAND ST,2023,0,0,0
HAMPSHIRE ST & PORTLAND ST,2024,1,1,0
HAMPSHIRE ST & PORTLAND ST,2025,2,2,0
MASSACHUSETTS AVE & RINDGE AVE,2023,3,2,1
MASSACHUSETTS AVE & RINDGE AVE,2024,0,0,0
MASSACHUSETTS AVE & RINDGE AVE,2025,0,0,0
MASSACHUSETTS AVE & WALDEN ST,2023,1,1,0
MASSACHUSETTS AVE & WALDEN ST,2024,2,2,0
MASSACHUSETTS AVE & WALDEN ST,2025,0,0,0
CAMBRIDGE ST & QUINCY ST,2023,0,0,0
CAMBRIDGE ST & QUINCY ST,2024,2,2,0
CAMBRIDGE ST & QUINCY ST,2025,1,1,0
CHURCH ST & MASSACHUSETTS AVE,2023,3,3,0
CHURCH ST & MASSACHUSETTS AVE,2024,0,0,0
CHURCH ST & MASSACHUSETTS AVE,2025,0,0,0
MASSACHUSETTS AVE & NORFOLK ST,2023,1,0,1
MASSACHUSETTS AVE & NORFOLK ST,2024,2,0,2
MASSACHUSETTS AVE & NORFOLK ST,2025,0,0,0
MASSACHUSETTS AVE & RICE ST,2023,2,2,0
MASSACHUSETTS AVE & RICE ST,2024,1,1,0
MASSACHUSETTS AVE & RICE ST,2025,0,0,0
MASSACHUSETTS AVE & SIDNEY ST,2023,3,3,0
MASSACHUSETTS AVE & SIDNEY ST,2024,0,0,0
MASSACHUSETTS AVE & SIDNEY ST,2025,0,0,0
BAY ST & MASSACHUSETTS AVE,2023,2,2,0
BAY ST & MASSACHUSETTS AVE,2024,0,0,0
BAY ST & MASSACHUSETTS AVE,2025,1,1,0
CAMBRIDGE ST & WINDSOR ST,2023,0,0,0
CAMBRIDGE ST & WINDSOR ST,2024,1,1,0
CAMBRIDGE ST & WINDSOR ST,2025,2,1,1
CARDINAL MEDEIROS AVE & HAMPSHIRE ST,2023,0,0,0
CARDINAL MEDEIROS AVE & HAMPSHIRE ST,2024,3,3,0
CARDINAL MEDEIROS AVE & HAMPSHIRE ST,2025,0,0,0
CONCORD AVE & SPINELLI PL,2023,1,1,0
CONCORD AVE & SPINELLI PL,2024,1,0,1
CONCORD AVE & SPINELLI PL,2025,1,1,0
GREEN ST & PUTNAM AVE,2023,2,1,1
GREEN ST & PUTNAM AVE,2024,0,0,0
GREEN ST & PUTNAM AVE,2025,1,0,1
MASSACHUSETTS AVE & SOMERVILLE AVE,2023,0,0,0
MASSACHUSETTS AVE & SOMERVILLE AVE,2024,3,3,0
MASSACHUSETTS AVE & SOMERVILLE AVE,2025,0,0,0
APPIAN WAY & GARDEN ST,2023,0,0,0
APPIAN WAY & GARDEN ST,2024,1,0,1
APPIAN WAY & GARDEN ST,2025,1,0,1
BINNEY ST & FIRST ST,2023,0,0,0
BINNEY ST & FIRST ST,2024,2,0,2
BINNEY ST & FIRST ST,2025,0,0,0
BISHOP ALLEN DR & NORFOLK ST,2023,1,0,1
BISHOP ALLEN DR & NORFOLK ST,2024,1,0,1
BISHOP ALLEN DR & NORFOLK ST,2025,0,0,0
BOND ST & GARDEN ST,2023,1,1,0
BOND ST & GARDEN ST,2024,0,0,0
BOND ST & GARDEN ST,2025,1,1,0
BRATTLE ST & LAKEVIEW AVE,2023,1,1,0
BRATTLE ST & LAKEVIEW AVE,2024,0,0,0
BRATTLE ST & LAKEVIEW AVE,2025,1,1,0
BROADWAY & DANA ST,2023,0,0,0
BROADWAY & DANA ST,2024,2,1,1
BROADWAY & DANA ST,2025,0,0,0
BROADWAY & FELTON,2023,0,0,0
BROADWAY & FELTON,2024,0,0,0
BROADWAY & FELTON,2025,2,0,2
BROADWAY & GALILEO GALILEI WAY,2023,0,0,0
BROADWAY & GALILEO GALILEI WAY,2024,1,0,1
BROADWAY & GALILEO GALILEI WAY,2025,1,0,1
BROADWAY & HAMPSHIRE ST,2023,2,2,0
BROADWAY & HAMPSHIRE ST,2024,0,0,0
BROADWAY & HAMPSHIRE ST,2025,0,0,0
BROADWAY & HIGHLAND AVE,2023,0,0,0
BROADWAY & HIGHLAND AVE,2024,0,0,0
BROADWAY & HIGHLAND AVE,2025,2,1,1
BROADWAY & WARE ST,2023,1,1,0
BROADWAY & WARE ST,2024,0,0,0
BROADWAY & WARE ST,2025,1,0,1
BROOKLINE ST & FRANKLIN ST,2023,0,0,0
BROOKLINE ST & FRANKLIN ST,2024,1,1,0
BROOKLINE ST & FRANKLIN ST,2025,1,0,1
CAMBRIDGE ST & CAMELIA AVE,2023,0,0,0
CAMBRIDGE ST & CAMELIA AVE,2024,1,1,0
CAMBRIDGE ST & CAMELIA AVE,2025,1,1,0
CAMBRIDGE ST & CARDINAL MEDEIROS AVE,2023,0,0,0
CAMBRIDGE ST & CARDINAL MEDEIROS AVE,2024,1,1,0
CAMBRIDGE ST & CARDINAL MEDEIROS AVE,2025,1,1,0
CAMBRIDGE ST & FULKERSON ST,2023,0,0,0
CAMBRIDGE ST & FULKERSON ST,2024,2,2,0
CAMBRIDGE ST & FULKERSON ST,2025,0,0,0
CAMBRIDGE ST & HAMPSHIRE ST,2023,0,0,0
